Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Dermira,2019-03-19,$13.25,DERM,ADD-ON,"Citigroup, Cowen and Company, Cantor Fitzgerald, Guggenheim Securities Cantor Fitzgerald"
Nomad Food Limited,2019-03-19,$20.00,NOMD,ADD-ON,"Goldman Sachs, Barclays, Citigroup, Credit Suisse, UBS Credit Suisse"
Essential Properties Realty Trust,2019-03-13,$17.50,EPRT,ADD-ON,"Citigroup, Barclays, Bofa Merill Lynch, Credit Suisse, Goldman Sachs, RBC Capital Markets Credit Suisse"
Futu Holdings,2019-03-07,$12.00,FHL,IPO,"Goldman Sachs, UBS, Credit Suisse Credit Suisse"
Pluralsight,2019-03-06,$29.25,PS,ADD-ON,"Morgan Stanley, JP Morgan, Barclays, BofA Merill Lynch KeyBanc Capital Markets"
Ascendis Pharma,2019-03-05,$120.00,ASND,ADD-ON,"JP Morgan, Morgan Stanley, Credit Suisse, Evercore Credit Suisse"
Danaher,2019-02-26,$123.00,DHR,ADD-ON,"Barclays, Goldman Sachs, Credit Suisse, HSBC Credit Suisse"
QTS Realty Trust,2019-02-26,$41.50,QTS,ADD-ON,"Jefferies, KeyBanc Capital Markets, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
New Fortress Energy,2019-01-30,$14.00,NFE,IPO,"Morgan Stanley, Barclays, Citigroup, Credit Suisse Credit Suisse"
eHealth,2019-01-23,$48.50,EHTH,ADD-ON,"RBC Capital Markets, Credit Suisse, Evercore Credit Suisse"
Everbridge,2019-01-15,$55.25,EVBG,ADD-ON,"JP Morgan, BofA Merill Lynch, Credit Suisse Credit Suisse"
360 Finance,2018-12-13,$16.50,QFIN,IPO,"Citigroup, Haitong International, Lighthouse Capital Citigroup"
MOGU Incorporated,2018-12-06,$14.00,MOGU,IPO,"Credit Suisse, Morgan Stanley Credit Suisse"
Laureate Education,2018-11-15,$14.00,LAUR,ADD-ON,"Credit Suisse, Barclays, BMO Capital Markets, Macquarie Capital Credit Suisse"
Bain Capital Specialty Finance,2018-11-14,$20.25,BCSF,IPO,"BofA Merill Lynch, Goldman Sachs, Morgan Stanley, Citigroup Credit Suisse"
Consolidated Edison,2018-11-14,$77.00,ED,ADD-ON,"Citibank, Barclays, JP Morgan KeyBanc Capital Markets"
Ceridian HCM Holding,2018-11-13,$36.00,CDAY,ADD-ON,"Goldman Sachs, JP Morgan Cantor Fitzgerald"
Sarepta Therapeutics,2018-11-08,$131.00,SRPT,ADD-ON,"Goldman Sachs, JP Morgan, Credit Suisse Credit Suisse"
Axonics Modulation Technologies,2018-10-30,$15.00,AXNX,,"BofA Merill Lynch, Morgan Stanley SunTrust Robinson Humphrey"
StoneCo,2018-10-25,$24.00,STNE,,"Goldman Sachs, JP Morgan, Citigroup Credit Suisse"
YETI Holdings,2018-10-24,$18.00,YETI,,"BofA Merill Lynch, Morgan Stanley, Jefferies KeyBanc Capital Markets"
Proteostasis Therapeutics,2018-10-23,$6.75,PTI,,"Leerink Partners, Piper Jaffray, Cantor Fitzgerald Cantor Fitzgerald"
Krystal Biotech,2018-10-18,$20.00,KRYS,,"Cowen and Company, William Blair, Cantor Fitzgerald Cantor Fitzgerald"
Niu Technologies,2018-10-18,$9.00,NIU,,"Credit Suisse, Citigroup Credit Suisse"
SolarWinds,2018-10-18,$15.00,SWI,,"Goldman Sachs, JP Morgan, Morgan Stanley, Credit Suisse Credit Suisse"
Studio City International,2018-10-17,$12.50,MSC,,"Deutsche Bank, Credit Suisse, Morgan Stanley Credit Suisse"
CPI Aerostructures,2018-10-16,$6.25,CVU,,Canaccord Genuity Canaccord Genuity
Anaplan,2018-10-11,$17.00,PLAN,,"Goldman Sachs, Morgan Stanley SunTrust Robinson Humphrey"
Livent,2018-10-10,$17.00,LTHM,,"BofA Merill Lynch, Goldman Sachs, Credit Suisse Credit Suisse"
Conagra Brands,2018-10-09,$35.25,CAG,,"Goldman Sachs, BofA Merill Lynch, JP Morgan, Mizuho Securities SunTrust Robinson Humphrey"
Azure Power Global,2018-10-04,$12.50,AZRE,,"Credit Suisse, Barclays, HSBC Credit Suisse"
Aldeyra Therapeutics,2018-09-27,$13.75,ALDX,,"Citigroup, Cantor Fitzgerald Cantor Fitzgerald"
CooTek,2018-09-27,$12.00,CTK,,"Credit Suisse, BofA Merill Lynch, Citigroup Credit Suisse"
Rosehill Resources,2018-09-27,$6.10,ROSE,,"Citigroup, SunTrust Robinson Humphrey, JP Morgan SunTrust Robinson Humphrey"
Ra Medical Systems,2018-09-26,$17.00,RMED,,"Piper Jaffray, Cantor Fitzgerald Cantor Fitzgerald"
AnaptysBio,2018-09-25,$94.46,ANAB,,"Credit Suisse, JP Morgan, Jefferies Credit Suisse"
Ashford,2018-09-25,$74.50,AINC,,"UBS, RBC Capital Markets, Janney Montgomery Scott UBS"
Centerpoint Energy,2018-09-25,$27.25,CNP,,"Morgan Stanley, Goldman Sachs, Citigroup, Wells Fargo Credit Suisse"
Entasis Therapeutics Holdings,2018-09-25,$15.00,ETTX,,"Credit Suisse, BMO Capital Markets Credit Suisse"
SurveyMonkey,2018-09-25,$12.00,SVMK,,"JP Morgan, Allen & Company LLC, BofA Merill Lynch, Credit Suisse, UBS, Wells Fargo Credit Suisse"
Farfetch,2018-09-20,$20.00,FTCH,,"Goldman Sachs, JP Morgan, Allen & Company LLC, UBS Credit Suisse"
Skyline Champion Corporation,2018-09-20,$29.25,SKY,,"Credit Suisse, RBC Capital Markets, Jefferies Credit Suisse"
Viking Therapeutics,2018-09-20,$18.50,VKTX,,William Blair SunTrust Robinson Humphrey
Elanco Animal Health,2018-09-19,$24.00,ELAN,,"Goldman Sachs, JP Morgan, Morgan Stanley Credit Suisse"
Eventbrite,2018-09-19,$23.00,EB,,"Goldman Sachs, JP Morgan, Allen & Company LLC, RBC Capital Markets Credit Suisse"
Foamix Pharmaceuticals,2018-09-13,$6.00,FOMX,,"BofA Merill Lynch, Cowen and Company, Barclays Cantor Fitzgerald"
"NN, Inc.",2018-09-13,$16.00,NNBR,,"JP Morgan, Baird, KeyBanc Capital Markets, SunTrust Robinson Humphrey KeyBanc Capital Markets"
PGT Innovations,2018-09-13,$23.00,PGTI,,"SunTrust Robinson Humphrey, JP Morgan, KeyBanc Capital Markets, Jefferies, Wells Fargo, Deutsche Bank SunTrust Robinson Humphrey"
"NIO, Inc.",2018-09-12,$6.26,NIO,,"Morgan Stanley, Goldman Sachs, JP Morgan, BofA Merill Lynch Credit Suisse"
SailPoint Technologies Holdings,2018-08-15,$28.25,SAIL,,"Morgan Stanley, Goldman Sachs, Citigroup KeyBanc Capital Markets"
Aridis Pharmaceuticals,2018-08-13,$13.00,ARDS,,Cantor Fitzgerald Cantor Fitzgerald
First Data,2018-08-13,$23.75,FDC,,"Citigroup, BofA Merill Lynch, PNC, Wells Fargo, Deutsche Bank, KKR Citigroup"
Central Garden & Pet,2018-08-08,$37.00,CENTA,,"BofA Merill Lynch, JP Morgan KeyBanc Capital Markets"
GrafTech International,2018-08-08,$20.00,EAF,,"JP Morgan, Credit Suisse Credit Suisse"
PlayAGS,2018-08-08,$29.25,AGS,,"Credit Suisse, Deutsche Bank, Jefferies, Macquarie Capital Credit Suisse"
WellCare Health Plans,2018-08-07,$265.00,WCG,,"SunTrust Robinson Humphrey, JP Morgan, Goldman Sachs, Wells Fargo SunTrust Robinson Humphrey"
Arlo Technologies,2018-08-02,$16.00,ARLO,,"BofA Merill Lynch, Deutsche Bank, Guggenheim Securities Guggenheim Securities"
Skyline Champion Corporation,2018-08-02,$22.00,SKY,,"Credit Suisse, RBC Capital Markets, Jefferies Credit Suisse"
Cushman & Wakefield,2018-08-01,$17.00,CWK,,"Morgan Stanley, JP Morgan, Goldman Sachs, UBS Credit Suisse"
Sonos,2018-08-01,$15.00,SONO,,"Morgan Stanley, Goldman Sachs, Allen & Company LLC KKR"
TherapeuticsMD,2018-08-01,$5.10,TXMD,,"Goldman Sachs, Cantor Fitzgerald Cantor Fitzgerald"
Endava,2018-07-26,$20.00,DAVA,,"Morgan Stanley, Citigroup, Credit Suisse, Deutsche Bank Credit Suisse"
Aurora Mobile,2018-07-25,$8.50,JG,,"Goldman Sachs, Credit Suisse, Deutsche Bank Credit Suisse"
Focus Financial Partners,2018-07-25,$33.00,FOCS,,"Goldman Sachs, BofA Merill Lynch, KKR KKR"
National Vision Holdings,2018-07-25,$39.75,EYE,,"BofA Merill Lunch, Citigroup, Goldman Sachs, Jefferies, KKR KKR"
Pinduoduo,2018-07-25,$19.00,PDD,,"Credit Suisse, Goldman Sachs, CICC Credit Suisse"
WillScot,2018-07-25,$16.00,WSC,,"Barclays, Deutsche Bank, Morgan Stanley, BofA Merill Lynch Credit Suisse"
Bloom Energy,2018-07-24,$15.00,BE,,"JP Morgan, Morgan Stanley Credit Suisse"
Materialise,2018-07-23,$13.00,MTLS,,Piper Jaffray KeyBanc Capital Markets
Evolus,2018-07-18,$20.00,EOLS,,"Cantor Fitzgerald, Mizuho Securities Cantor Fitzgerald"
Cactus,2018-07-11,$33.25,WHD,,"Citigroup, Credit Suisse Credit Suisse"
Domo,2018-06-28,$21.00,DOMO,,"Morgan Stanley, Allen & Company LLC, Credit Suisse, UBS Credit Suisse"
BrightView,2018-06-27,$22.00,BV,,"Goldman Sachs, JP Morgan, KKR, UBS KKR"
Forty Seven,2018-06-27,$16.00,FTSV,,"Morgan Stanley, Credit Suisse Credit Suisse"
Green Brick Partners,2018-06-21,$9.50,GRBK,,"Citigroup, Credit Suisse, JP Morgan Credit Suisse"
Essential Properties Realty Trust,2018-06-20,$14.00,EPRT,,"Goldman Sachs, Citigroup, BofA Merill Lynch, Credit Suisse Credit Suisse"
i3 Verticals,2018-06-20,$13.00,IIIV,,"Cowen and Company, Raymond James, KeyBanc Capital Markets KeyBanc Capital Markets"
Galmed Pharmaceuticals,2018-06-19,$15.00,GLMD,,"Stifel, SunTrust Robinson Humphrey, Cantor Fitzgerald Cantor Fitzgerald"
ObsEva,2018-06-19,$15.39,OBSV,,"JP Morgan, Credit Suisse, Jefferies Credit Suisse"
CIRCOR International,2018-06-12,$44.25,CIR,,"Citigroup, Deutsche Bank KeyBanc Capital Markets"
OptiNose,2018-06-06,$22.25,OPTN,,"Jefferies, Piper Jaffray, BMO Capital Markets, RBC Capital Markets Cantor Fitzgerald"
Vericel Corporation,2018-05-31,$13.00,VCEL,,"Leerink Partners, BTIG Leerink Partners"
T2 Biosystems,2018-05-30,$7.50,TTOO,,Leerink Partners Leerink Partners
Iterum Therapeutics,2018-05-24,$13.00,ITRM,,"Leerink Partners, RBC Capital Markets Leerink Partners"
GreenSky,2018-05-24,$23.00,GSKY,,"Goldman Sachs, JP Morgan, Morgan Stanley Credit Suisse"
Melinta Therapeutics,2018-05-23,$5.00,MLNT,,"JP Morgan, Jefferies Cantor Fitzgerald"
RealPage,2018-05-23,$57.00,RP,,"Morgan Stanley, JP Morgan, Wells Fargo, RBC Capital Markets KeyBanc Capital Markets"
SailPoint Technologies Holdings,2018-05-23,$22.50,SAIL,,"Morgan Stanley, Goldman Sachs, Citigroup KeyBanc Capital Markets"
2U,2018-05-22,$90.00,TWOU,,"Goldman Sachs, Credit Suisse Credit Suisse"
Evo Payments,2018-05-22,$16.00,EVOP,,"JP Morgan, BofA Merill Lynch, Citigroup, Deutsche Bank, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
International Game Technology,2018-05-22,$28.25,IGT,,Credit Suisse Credit Suisse
MyoKardia,2018-05-22,$49.00,MYOK,,"JP Morgan, BofA Merill Lynch, Credit Suisse, Wells Fargo Credit Suisse"
Myers Industries,2018-05-18,$18.50,MYE,,"JP Morgan, Baird KeyBanc Capital Markets"
Curo Group Holdings,2018-05-16,$23.00,CURO,,"Credit Suisse, Jefferies, Stephens Credit Suisse"
Huya,2018-05-10,$12.00,HUYA,,"Credit Suisse, Goldman Sachs, UBS Credit Suisse"
Weight Watchers International,2018-05-10,$69.00,WTW,,"Goldman Sachs, Morgan Stanley, UBS Goldman Sachs"
AXA Equitable Holdings,2018-05-09,$20.00,EQH,,"Morgan Stanley, JP Morgan, Barclays, Citigroup Credit Suisse"
PlayAGS,2018-05-09,$21.50,AGS,,"Credit Suisse, Deutsche Bank Credit Suisse"
InflaRx,2018-05-03,$34.00,IFRX,,"JP Morgan, Leerink Partners, BMO Capital Markets SunTrust Robinson Humphrey"
Gardner Denver Holdings,2018-05-02,$31.00,GDI,ADD-ON,"Goldman Sachs, Citigroup, KKR KKR"
Centene Corporation,2018-05-01,$107.50,CNC,ADD-ON,"Barclays, Citigroup, Wells Fargo, Evercore, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
PermRock Royalty Trust,2018-05-01,$17.00,PRT,IPO,"Wells Fargo, Goldman Sachs, UBS UBS"
Ceridian HCM Holding,2018-04-26,$22.00,CDAY,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
Eloxx Pharmaceuticals,2018-04-25,$9.75,ELOX,ADD-ON,"Citigroup, Piper Jaffray Citigroup"
Pivotal Software,2018-04-19,$15.00,PVTL,IPO,"Morgan Stanley, Goldman Sachs, Citigroup Credit Suisse"
GrafTech International,2018-04-18,$15.00,EAF,IPO,"JP Morgan, Credit Suisse Credit Suisse"
Exela Technologies,2018-04-11,$5.00,XELA,ADD-ON,"Morgan Stanley, RBC Capital Markets Cantor Fitzgerald"
Hilton Worldwide Holdings,2018-04-10,$73.00,HLT,ADD-ON,"Goldman Sachs, JP Morgan, Deutsche Bank Credit Suisse"
SS&C Technologies,2018-04-03,$47.50,SSNC,ADD-ON,"Credit Suisse, Morgan Stanley Credit Suisse"
IQIYI,2018-03-28,$18.00,IQ,IPO,"Goldman Sachs, Credit Suisse, BofA Merill Lynch Credit Suisse"
PTC Therapeutics,2018-03-28,$27.04,PTCT,ADD-ON,"Credit Suisse, Citigroup, RBC Capital Markets Credit Suisse"
General Mills,2018-03-27,$44.00,GIS,ADD-ON,"Goldman Sachs, BofA Merill Lynch Credit Suisse"
Sunlands Online Education,2018-03-22,$11.50,STG,IPO,"JP Morgan, Credit Suisse, RBC Capital Markets Credit Suisse"
Arena Pharmaceuticals,2018-03-21,$41.50,ARNA,ADD-ON,"Citigroup, Leerink Partners Credit Suisse"
Cision,2018-03-20,$10.75,CISN,ADD-ON,"JP Morgan, Deutsche Bank Credit Suisse"
ForeScout Technologies,2018-03-20,$29.00,FSCT,ADD-ON,"Morgan Stanley, JP Morgan, Citigroup KeyBanc Capital Markets"
Xencor,2018-03-20,$31.00,XNCR,ADD-ON,"Leerink Partners, Piper Jaffray Leerink Partners"
Zscaler,2018-03-15,$16.00,ZS,IPO,"Morgan Stanley, Goldman Sachs Credit Suisse"
Evoqua Water Technologies,2018-03-14,$22.00,AQUA,ADD-ON,"JP Morgan, Credit Suisse, RBC Capital Markets Credit Suisse"
Hilton Grand Vacations,2018-03-14,$46.25,HGV,ADD-ON,"BofA Merill Lynch, JP Morgan Credit Suisse"
National Vision Holdings,2018-03-14,$33.00,EYE,ADD-ON,"BofA Merill Lynch, Citigroup, Goldman Sachs, Jefferies, KKR KKR"
Emerald Expositions Events,2018-03-08,$18.50,EEX,ADD-ON,"BofA Merill Lynch, Goldman Sachs, Barclays, RBC Capital Markets, Credit Suisse, Citigroup Credit Suisse"
Ares Management,2018-03-07,$22.00,ARES,ADD-ON,"Wells Fargo, Morgan Stanley, Credit Suisse Credit Suisse"
Park Hotels & Resorts,2018-03-06,$25.75,PK,ADD-ON,"Barclays, JP Morgan Credit Suisse"
NMI Holdings,2018-02-27,$19.75,NMIH,ADD-ON,"JP Morgan, Deutsche Bank, RBC Capital Markets SunTrust Robinson Humphrey"
Aimmune Therapeutics,2018-02-21,$32.00,AIMT,ADD-ON,"BofA Merill Lynch, Cantor Fitzgerald, Piper Jaffray, Credit Suisse, RBC Capital Markets Credit Suisse"
Ascendis Pharma,2018-02-21,$57.00,ASND,ADD-ON,"JP Morgan, BofA Merill Lynch, Credit Suisse Credit Suisse"
Cardlytics,2018-02-08,$13.00,CDLX,IPO,"BofA Merill Lynch, JP Morgan KeyBanc Capital Markets"
Cactus,2018-02-07,$19.00,WHD,IPO,"Citigroup, Credit Suisse Credit Suisse"
Evolus,2018-02-07,$12.00,EOLS,IPO,"Cantor Fitzgerald, Mizuho Securities Cantor Fitzgerald"
Huami Corporation,2018-02-07,$11.00,HMI,IPO,"Credit Suisse, Citigroup, China Renaissance Credit Suisse"
FTS International,2018-02-01,$18.00,FTSI,IPO,"Credit Suisse, Morgan Stanley Credit Suisse"
Sun Hydraulics,2018-02-01,$57.50,SNHY,ADD-ON,Morgan Stanley KeyBanc Capital Markets
Hudson Ltd,2018-01-31,$19.00,HUD,IPO,"Credit Suisse, Morgan Stanley, UBS Credit Suisse"
VICI Properties,2018-01-31,$20.00,VICI,IPO,"Morgan Stanley, Goldman Sachs, BofA Merill Lynch Credit Suisse"
PlayAGS,2018-01-25,$16.00,AGS,IPO,"Credit Suisse, Deutsche Bank Credit Suisse"
Rapid7,2018-01-25,$22.00,RPD,ADD-ON,"Barclays, RBC Capital Markets KeyBanc Capital Markets"
Strongbridge Biopharma,2018-01-25,$6.75,SBBP,ADD-ON,Cantor Fitzgerald Cantor Fitzgerald
Gates Industrial,2018-01-24,$19.00,GTES,IPO,"Citigroup, Morgan Stanley, UBS Credit Suisse"
PagSeguro Digital,2018-01-23,$21.50,PAGS,IPO,"Goldman Sachs, Morgan Stanley, BofA Merill Lynch, Deutsche Bank, Credit Suisse, JP Morgan, Itau BBA, BBI Credit Suisse"
ADT,2018-01-18,$14.00,ADT,IPO,"Morgan Stanley, Goldman Sachs Credit Suisse"
Nine Energy Service,2018-01-18,$23.00,NINE,IPO,"JP Morgan, Goldman Sachs, Wells Fargo Credit Suisse"
Industrial Logistics Properties,2018-01-11,$24.00,ILPT,IPO,"UBS, Citigroup, RBC Capital Markets, BofA Merill Lynch, Morgan Stanley, Wells Fargo UBS"
CURO Group Holdings,2017-12-06,$14.00,CURO,IPO,"Credit Suisse, Jefferies, Stephens Credit Suisse"
Medpace Holdings,2017-11-30,$31.50,MEDP,ADD-ON,"Jefferies, Credit Suisse Credit Suisse"
Venator Materials,2017-11-29,$22.50,VNTR,ADD-ON,"BofA Merill Lynch, Citigroup, Goldman Sachs, JP Morgan SunTrust Robinson Humphrey"
Bluegreen Vacations,2017-11-16,$14.00,BXG,IPO,"Stifel, Credit Suisse Credit Suisse"
Presidio,2017-11-16,$14.25,PSDO,ADD-ON,"JP Morgan, Citigroup, RBC Capital Markets Credit Suisse"
Sterling Bancorp,2017-11-16,$12.00,SBT,IPO,Sandler O'Neill + Partners Sandler O'Neill + Partners
Everbridge,2017-11-15,$26.97,EVBG,ADD-ON,"BofA Merill Lynch, Credit Suisse Credit Suisse"
Floor & Decor Holdings,2017-11-15,$36.00,FND,ADD-ON,"BofA Merill Lynch, Barclays, Credit Suisse, UBS Credit Suisse"
Gardner Denver Holdings,2017-11-15,$27.25,GDI,ADD-ON,"Goldman Sachs, Citigroup, KKR KKR"
JELD-WEN Holding,2017-11-15,$33.75,JELD,ADD-ON,"Barclays, Citigroup, Credit Suisse, JP Morgan Credit Suisse"
Alnylam Pharmaceuticals,2017-11-13,$125.00,ALNY,ADD-ON,"Goldman Sachs, JP Morgan, Barclays Credit Suisse"
ATENTO,2017-11-09,$9.00,ATTO,ADD-ON,"Morgan Stanley, Credit Suisse, Itau BBA Credit Suisse"
PPDAI GROUP,2017-11-09,$13.00,PPDF,IPO,"Credit Suisse, Citigroup Credit Suisse"
Solaris Oilfield Infrastructure,2017-11-09,$15.75,SOI,IPO,"Credit Suisse, Goldman Sachs Credit Suisse"
Sogou,2017-11-08,$13.00,SOGO,IPO,"JP Morgan, Credit Suisse, Goldman Sachs, CICC Credit Suisse"
Allena Pharmaceuticals,2017-11-01,$14.00,ALNA,IPO,"Credit Suisse, Jefferies, Cowen and Company Credit Suisse"
Evoqua Water Technologies,2017-11-01,$18.00,AQUA,IPO,"Credit Suisse, JP Morgan, RBC Capital Markets Credit Suisse"
Intellia Therapeutics,2017-11-01,$24.00,NTLA,IPO,"Credit Suisse, Jefferies, Leerink Partners Credit Suisse"
Constellium,2017-10-31,$11.00,CSTM,ADD-ON,"Credit Suisse, Deutsche Bank Credit Suisse"
Merchants Bancorp,2017-10-26,$16.00,MBIN,IPO,"Sandler O'Neill + Partners, Stephens, Raymond James, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
NEXA RESOURCES,2017-10-26,$16.00,NEXA,IPO,"JP Morgan, BMO Capital Markets, Morgan Stanley, Credit Suisse Credit Suisse"
BP Midstream Partners LP,2017-10-25,$18.00,BPMP,IPO,"Citigroup, Goldman Sachs, Morgan Stanley Credit Suisse"
Camping World Holdings,2017-10-25,$40.50,CWH,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
National Vision Holdings,2017-10-25,$22.00,EYE,IPO,"BofA Merill Lynch, Goldman Sachs, Citigroup, KKR KKR"
Ignyta,2017-10-19,$16.00,RXDX,ADD-ON,"JP Morgan, Jefferies Cantor Fitzgerald"
RISE Education Cayman Ltd,2017-10-19,$14.50,REDU,IPO,"Morgan Stanley, Credit Suiise Credit Suisse"
Sea Limited,2017-10-19,$15.00,SE,IPO,"Goldman Sachs, Morgan Stanley, Credit Suisse Credit Suisse"
KMG Chemicals,2017-10-18,$54.00,KMG,ADD-ON,"Goldman Sachs, KeyBanc Capital Markets KeyBanc Capital Markets"
Qudian,2017-10-17,$24.00,QD,IPO,"Morgan Stanley, Credit Suisse, Citigroup, CICC Credit Suisse"
AnaptysBio,2017-10-12,$68.50,ANAB,ADD-ON,"Credit Suisse, Jefferies, Stifel Credit Suisse"
REV Group,2017-10-12,$27.25,REVG,ADD-ON,"Goldman Sachs, Morgan Stanley, Baird, Credit Suisse Credit Suisse"
Switch,2017-10-05,$17.00,SWCH,IPO,"Goldman Sachs, JP Morgan, BMO Capital Markets, Wells Fargo Credit Suisse"
CoStar Group,2017-09-28,$260.00,CSGP,ADD-ON,"JP Morgan, Goldman Sachs, Citigroup, BofA Merill Lynch, SunTrust Robinson Humphrey, Wells Fargo SunTrust Robinson Humphrey"
PQ Group Holdings,2017-09-28,$17.50,PQG,IPO,"Morgan Stanley, Goldman Sachs, Citigroup, Credit Suisse Credit Suisse"
Intra-Cellular Therapies,2017-09-27,$15.50,ITCI,ADD-ON,"JP Morgan, Leerink Partners Cantor Fitzgerald"
RYB Education,2017-09-26,$18.50,RYB,IPO,"Credit Suisse, Morgan Stanley Credit Suisse"
Beacon Roofing Supply,2017-09-20,$47.50,BECN,ADD-ON,"Citigroup, Wells Fargo Citigroup"
Oasis Midstream Partners,2017-09-20,$17.00,OMP,IPO,"Morgan Stanley, Citigroup, Wells Fargo Credit Suisse"
BEST,2017-09-19,$10.00,BSTI,IPO,"Citigroup, Credit Suisse, Goldman Sachs, JP Morgan, Deutsche Bank Credit Suisse"
Nabriva Therapeutics,2017-09-19,$8.50,NBRV,ADD-ON,"Morgan Stanley, BofA Merill Lynch Morgan Stanley"
Tremont Mortgage Trust,2017-09-14,$20.00,TRMT,IPO,"UBS, Citigroup, RBC Capital Markets UBS"
FIRST DATA,2017-09-13,$17.75,FDC,ADD-ON,"BofA Merrill Lynch, Citigroup, KKR KKR"
2U,2017-09-06,$49.00,TWOU,ADD-ON,"Goldman Sachs, Credit Suisse Credit Suisse"
Independence Realty Trust,2017-09-06,$9.25,IRT,ADD-ON,Citigroup Citigroup
YY,2017-08-15,$70.00,YY,ADD-ON,"Credit Suisse, Goldman Sachs, China Renaissance Credit Suisse"
Ranger Energy Services,2017-08-10,$14.50,RNGR,IPO,"Credit Suisse, Simmons, Wells Fargo Credit Suisse"
YogaWorks,2017-08-10,$5.50,YOGA,IPO,"Cowen and Company, Stephens, Guggenheim Securities Cowen and Company"
Dynavax Technologies,2017-08-09,$15.00,DVAX,ADD-ON,"Cowen and Company, RBC Capital Markets, William Blair SunTrust Robinson Humphrey"
Evolent Health,2017-08-08,$19.85,EVH,ADD-ON,"JP Morgan, Goldman Sachs SunTrust Robinson Humphrey"
McCormick & Company,2017-08-08,$90.50,MKC,ADD-ON,"BofA Merrill Lynch, Credit Suisse Credit Suisse"
Venator Materials,2017-08-02,$20.00,VNTR,IPO,"Citigroup, Goldman Sachs, BofA Merrill Lynch, JP Morgan SunTrust Robinson Humphrey"
Tetraphase Pharmaceuticals,2017-07-27,$6.50,TTPH,ADD-ON,"Piper Jaffray, BMO Capital Markets, Stifel SunTrust Robinson Humphrey"
Sarepta Therapeutics,2017-07-24,$42.50,SRPT,ADD-ON,"Goldman Sachs, JP Morgan, Credit Suisse Credit Suisse"
Community Healthcare Trust,2017-07-20,$23.45,CHCT,ADD-ON,"Sandler O'Neill + Partners, Evercore, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
Crown Castle International,2017-07-20,$96.00,CCI,ADD-ON,"Morgan Stanley, BofA Merrill Lynch, JP Morgan Morgan Stanley"
Floor & Decor Holdings,2017-07-19,$40.00,FND,ADD-ON,"BofA Merrill Lynch, Barclays, Credit Suisse, UBS Credit Suisse"
Inovio Pharmaceuticals,2017-07-19,$6.00,INO,ADD-ON,Citigroup Citigroup
USA Technologies,2017-07-19,$4.50,USAT,ADD-ON,William Blair William Blair
XPO LOGISTICS,2017-07-19,$60.50,XPO,ADD-ON,"Morgan Stanley, JP Morgan Morgan Stanley"
CymaBay Therapeutics,2017-07-18,$6.50,CBAY,ADD-ON,"Leerink Partners, Piper Jaffray, Cantor Fitzgerald Cantor Fitzgerald"
BBVA Banco Frances,2017-07-18,$15.85,BFR,ADD-ON,"Morgan Stanley, Citigroup Credit Suisse"
Arena Pharmaceuticals,2017-07-12,$24.00,ARNA,ADD-ON,"Citigroup, Leerink Partners, Cantor Fitzgerald, UBS Cantor Fitzgerald"
Minerva Neurosciences,2017-06-28,$7.75,NERV,ADD-ON,"Citigroup, Jefferies Citigroup"
Government Properties Income Trust,2017-06-28,$18.50,GOV,ADD-ON,"Citigroup, BofA Merrill Lynch, Morgan Stanley, UBS Citigroup"
Blue Apron,2017-06-28,$10.00,APRN,IPO,"Goldman Sachs, Morgan Stanley, Citigroup, Barclays SunTrust Robinson Humphrey"
Canada Goose Holdings,2017-06-27,$20.75,GOOS,ADD-ON,"CIBC, Credit Suisse, Goldman Sachs, RBC Capital Markets Credit Suisse"
Boston Omaha,2017-06-15,$13.00,BOMN,ADD-ON,Cowen and Company Cowen and Company
Athenex,2017-06-13,$11.00,ATNX,IPO,"Credit Suisse, Deutsche Bank, JP Morgan Credit Suisse"
CalAtlantic Group,2017-06-08,$34.25,CAA,ADD-ON,"Credit Suisse, JP Morgan Credit Suisse"
Athene Holding,2017-06-06,$49.00,ATH,ADD-ON,"Goldman Sachs, Barclays, Citigroup, Wells Fargo Credit Suisse"
GMS,2017-06-01,$33.00,GMS,ADD-ON,"Barclays, RBC Capital Markets, Credit Suisse Credit Suisse"
WideOpenWest,2017-05-24,$17.00,WOW,IPO,"UBS, Credit Suisse Credit Suisse"
MINDBODY,2017-05-24,$27.95,MB,ADD-ON,"JP Morgan, UBS, Jefferies, Credit Suisse Credit Suisse"
JELD-WEN Holding,2017-05-24,$30.75,JELD,ADD-ON,"Barclays, Citigroup Credit Suisse"
Camping World Holdings,2017-05-24,$27.75,CWH,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
Shopify,2017-05-18,$91.00,SHOP,ADD-ON,"Morgan Stanley, Credit Suisse Credit Suisse"
Liberty Media Corp,2017-05-18,$31.00,FWONK,ADD-ON,"Goldman Sachs, JP Morgan, Morgan Stanley, BofA Merrill Lynch, Barclays, Credit Suisse Credit Suisse"
