Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Enlight Renewable Energy,2023-02-09,$18.00,ENLT,IPO,"JP Morgan, BofA Merrill Lynch, Barclays Credit Suisse"
Mineralys Therapeutics,2023-02-09,$16.00,MLYS,IPO,"BofA Merrill Lynch, Evercore ISI, Stifel, Credit Suisse, Guggenheim Securities, Wells Fargo Credit Suisse"
Hesai Group,2023-02-08,$19.00,HSAI,IPO,"Goldman Sachs, Morgan Stanley, Credit Suisse Credit Suisse"
Nextracker,2023-02-08,$24.00,NXT,IPO,"JP Morgan, BofA Merrill Lynch Truist Securities"
Structure Therapeuticst,2023-02-02,$15.00,GPCR,IPO,"Jefferies, SVB Leerink, Guggenheim Securities, BMO Capital Markets Jefferies"
Skyward Specialty Insurance Group,2023-01-12,$15.00,SKWD,IPO,"Barclays, Keefe Bruyette & Woods, Piper Sandler, JMP Securities, Truist Securities, Raymond James Truist Securities"
Biote,2023-01-04,$3.00,BTMD,ADD-ON,"Truist Securities, Cowen and Company, Roth Capital Truist Securities"
Prothena Corporation,2022-12-14,$56.50,PRTA,ADD-ON,"Jefferies, Evercore ISI, Cantor Fitzgerald Jefferies"
Laureate Education,2022-11-17,$9.75,LAUR,ADD-ON,"Goldman Sachs, BTIG BMO Capital Markets"
Privia Health Group,2022-11-16,$23.50,PRVA,ADD-ON,"Goldman Sachs, Credit Suisse, William Blair, Jefferies Credit Suisse"
Alight,2022-11-14,$7.75,ALIT,ADD-ON,"JP Morgan, Credit Suisse Credit Suisse"
Acrivon Therapeutics,2022-11-14,$12.50,ACRV,IPO,"Morgan Stanley, Jefferies, Cowen and Company, Piper Sandler Jefferies"
Crescent Energy,2022-09-08,$15.00,CRGY,ADD-ON,"Credit Suisse, KKR, Wells Fargo, JP Morgan Credit Suisse"
Bloom Energy,2022-08-16,$26.00,BE,ADD-ON,"JP Morgan, Morgan Stanley, BofA Merrill Lynch Credit Suisse"
Sovos Brands,2022-08-10,$14.00,SOVO,ADD-ON,"JP Morgan, Goldman Sachs, BofA Merrill Lynch, Credit Suisse Credit Suisse"
Ivanhoe Electric,2022-06-27,$11.75,IE,IPO,"BMO Capital Markets, Jefferies, JP Morgan BMO Capital Markets"
Concert Pharmaceuticals,2022-06-01,$4.75,CNCE,ADD-ON,"Jefferies, Truist Securities Truist"
Bausch & Lomb,2022-05-05,$18.00,BLCO,IPO,"Morgan Stanley, Goldman Sachs Truist"
AN2 Therapeutics,2022-03-24,$15.00,ANTX,IPO,"Cowen and Company, SVB Leerink, Evercore ISI, Oppenheimer & Co Cowen and Company"
Core & Main,2022-01-05,$26.00,CNM,ADD-ON,"Goldman Sachs, Credit Suisse, JP Morgan Credit Suisse"
Ecovyst,2021-11-18,$9.50,ECVT,ADD-ON,"Citigroup, Deutsche Bank, Credit Suisse Credit Suisse"
Privia Health Group,2021-11-18,$29.00,PRVA,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
AG Mortgage Investment Trust,2021-11-17,$10.25,MITT,ADD-ON,"Credit Suisse, Citigroup Credit Suisse"
Definitive Healthcare,2021-11-17,$36.00,DH,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
Postal Realty Trust,2021-11-16,$17.00,PSTL,ADD-ON,"JP Morgan, Stifel Truist Securities"
Mynaric,2021-11-11,$16.50,MYNA,IPO,"Credit Suisse, Jefferies Credit Suisse"
Backblaze,2021-11-10,$16.00,BLZE,IPO,"Oppenheimer & Co, William Blair Oppenheimer & Co"
Diversey Holdings,2021-11-10,$15.00,DSEY,ADD-ON,"Citigroup, Morgan Stanley, Credit Suisse, BofA Merrill Lynch, Barclays, Goldman Sachs, Jefferies, RBC Capital Markets, UBS, Baird Credit Suisse"
First Advantage,2021-11-10,$20.00,FA,ADD-ON,"Barclays, BofA Merrill Lynch, Citigroup, Evercore ISI, RBC Capital Markets, Stifel, HSBC, KKR KKR"
KnowBe4,2021-11-10,$25.75,KNBE,ADD-ON,"Morgan Stanley, Goldman Sachs, BofA Merrill Lynch, KKR KKR"
SiTime Corporation,2021-11-09,$225.00,SITM,ADD-ON,"Barclays, Credit Suisse, Stifel Credit Suisse"
Hertz Global Holdings,2021-11-08,$29.00,HTZ,IPO,"Goldman Sachs, JP Morgan, Morgan Stanley Guggenheim Securities"
Qualtrics International,2021-11-04,$42.00,XM,ADD-ON,"Goldman Sachs, HSBC Truist Securities"
Real Good Food Company,2021-11-04,$12.00,RGF,IPO,"Jefferies, William Blair, Truist Securities Jefferies"
MDxHealth,2021-11-03,$12.00,MDXH,IPO,"Piper Sandler, Oppenheimer & Co Piper Sandler"
Aura Biosciences,2021-10-28,$14.00,AURA,IPO,"Cowen and Company, SVB Leerink, Evercore ISI Cowen and Company"
Fluence Energy,2021-10-28,$28.00,FLNC,IPO,"JP Morgan, Morgan Stanley Credit Suisse"
HireRight Holdings,2021-10-28,$19.00,HRT,IPO,"Credit Suisse, Goldman Sachs Credit Suisse"
GLOBALFOUNDRIES,2021-10-27,$47.00,GFS,IPO,"Morgan Stanley, JP Morgan, BofA Merrill Lynch, Credit Suisse, Citigroup Credit Suisse"
Solo Brands,2021-10-27,$17.00,DTC,IPO,"BofA Merrill Lynch, JP Morgan, Jefferies, Citigroup, Credit Suisse, Piper Sandler, William Blair Credit Suisse"
Arteris,2021-10-26,$14.00,AIP,IPO,"Jefferies, Cowen and Company, BMO Capital Markets Credit Suisse"
Informatica,2021-10-26,$29.00,INFA,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
Rent the Runway,2021-10-26,$21.00,RENT,IPO,"Goldman Sachs, Morgan Stanley, Barclays Credit Suisse"
Enfusion,2021-10-20,$17.00,ENFN,IPO,"Morgan Stanley, Goldman Sachs Credit Suisse"
The Vita Coco Company,2021-10-20,$15.00,COCO,IPO,"Goldman Sachs, BofA Merrill Lynch, Credit Suisse, Evercore ISI Credit Suisse"
Ventyx Biosciences,2021-10-20,$16.00,VTYX,IPO,"Jefferies, Evercore ISI, Piper Sandler Jefferies"
Duckhorn Portfolio,2021-10-14,$20.50,NAPA,ADD-ON,"JP Morgan, Credit Suisse, Jefferies Credit Suisse"
MiNK Therapeutics,2021-10-14,$12.00,INKT,IPO,"Evercore ISI, William Blair Evercore ISI"
Lucid Diagnostics,2021-10-13,$14.00,LUCD,IPO,"Cantor Fitzgerald, Canaccord Genuity Cantor Fitzgerald"
Sarepta Therapeutics,2021-10-13,$81.00,SRPT,ADD-ON,"Goldman Sachs, JP Morgan, Morgan Stanley, Credit Suisse Credit Suisse"
AvidXchange,2021-10-12,$25.00,AVDX,IPO,"Goldman Sachs, JP Morgan, BofA Merrill Lynch, Barclays, Credit Suisse, KeyBanc Capital Markets, Deutsche Bank, Piper Sandler Credit Suisse"
Pyxis Oncology,2021-10-07,$16.00,PYXS,IPO,"BofA Merrill Lynch, Jefferies, Credit Suisse, William Blair Credit Suisse"
Theseus Pharmaceuticals,2021-10-06,$16.00,THRX,IPO,"Jefferies, SVB Leerink, Cantor Fitzgerald Jefferies"
Nuvei Corporation,2021-10-05,$123.14,NVEI,IPO,"Goldman Sachs, Credit Suisse, JP Morgan Credit Suisse"
TDCX,2021-09-30,$18.00,TDCX,IPO,"Goldman Sachs, Credit Suisse Credit Suisse"
Clearwater Analytics Holdings,2021-09-23,$18.00,CWAN,IPO,"Goldman Sachs, JP Morgan, Morgan Stanley, Credit Suisse, RBC Capital Markets, Wells Fargo, Oppenheimer & Co, Piper Sandler, William Blair Credit Suisse"
Argo Blockchain,2021-09-22,$15.00,ARBK,IPO,"Jefferies, Barclays Jefferies"
Brilliant Earth Group,2021-09-22,$12.00,BRLT,IPO,"JP Morgan, Credit Suisse, Jefferies, Cowan and Company Credit Suisse"
Sovos Brands,2021-09-22,$12.00,SOVO,IPO,"JP Morgan, Goldman Sachs, BofA Merrill Lynch Credit Suisse"
a.k.a. Brands Holding Corp,2021-09-21,$11.00,AKA,IPO,"BofA Merrill Lynch, Credit Suisse, Jefferies Credit Suisse"
Enact Holdings,2021-09-15,$19.00,ACT,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
FIGS,2021-09-15,$40.25,FIGS,ADD-ON,"Goldman Sachs, Morgan Stanley, Barclays, Credit Suisse Credit Suisse"
